gene,class
bs-aag,iESR
bs-aerA,iESR
bs-aldY,iESR
bs-bmr,iESR
bs-bmrR,iESR
bs-bmrU,iESR
bs-bofC,iESR
bs-brxC,iESR
bs-chaA,iESR
bs-clpC,iESR
bs-clpP,iESR
bs-corA,iESR
bs-csbA,iESR
bs-csbB,iESR
bs-csbC,iESR
bs-csbD,iESR
bs-csbX,iESR
bs-ctc,iESR
bs-ctsR,iESR
bs-cypC,iESR
bs-disA,iESR
bs-dps,iESR
bs-facZ,iESR
bs-forC1,iESR
bs-forE1,iESR
bs-gabD,iESR
bs-gsiB,iESR
bs-gspA,iESR
bs-gtaB,iESR
bs-guaD,iESR
bs-hpf,iESR
bs-iolW,iESR
bs-ispD,iESR
bs-ispF,iESR
bs-katE,iESR
bs-katX,iESR
bs-mcsA,iESR
bs-mcsB,iESR
bs-meeF,iESR
bs-mgsR,iESR
bs-mhqO,iESR
bs-mhqP,iESR
bs-nadE,iESR
bs-nhaX,iESR
bs-ohrB,iESR
bs-opuE,iESR
bs-phoP,iESR
bs-phoR,iESR
bs-plsC,iESR
bs-pth,iESR
bs-radA,iESR
bs-rpmEB,iESR
bs-rsbRD,iESR
bs-rsbV,iESR
bs-rsbW,iESR
bs-rsbX,iESR
bs-sigB,iESR
bs-sodA,iESR
bs-spx,iESR
bs-trxA,iESR
bs-yaaH,iESR
bs-yaaI,iESR
bs-yacL,iESR
bs-ybyB,iESR
bs-ycbP,iESR
bs-ycdF,iESR
bs-ycdG,iESR
bs-yceC,iESR
bs-yceD,iESR
bs-yceE,iESR
bs-yceG,iESR
bs-yceH,iESR
bs-yczO,iESR
bs-ydaC,iESR
bs-ydaD,iESR
bs-ydaE,iESR
bs-ydaF,iESR
bs-ydaG,iESR
bs-ydaJ,iESR
bs-ydaK,iESR
bs-ydaL,iESR
bs-ydaM,iESR
bs-ydaN,iESR
bs-ydaP,iESR
bs-ydaS,iESR
bs-ydaT,iESR
bs-ydbD,iESR
bs-ydhK,iESR
bs-yerD,iESR
bs-yfhD,iESR
bs-yfhE,iESR
bs-yfhF,iESR
bs-yfhK,iESR
bs-yfhL,iESR
bs-yfhM,iESR
bs-yfhO,iESR
bs-yfkD,iESR
bs-yfkH,iESR
bs-yfkI,iESR
bs-yfkJ,iESR
bs-yfkM,iESR
bs-yfkS,iESR
bs-yfkT,iESR
bs-yflA,iESR
bs-yflB,iESR
bs-yflD,iESR
bs-yflH,iESR
bs-yflT,iESR
bs-ygxB,iESR
bs-yhcM,iESR
bs-yhdF,iESR
bs-yhdN,iESR
bs-yhxD,iESR
bs-yitT,iESR
bs-yjbC,iESR
bs-yjgB,iESR
bs-yjzE,iESR
bs-ykgA,iESR
bs-ykgB,iESR
bs-ykuT,iESR
bs-ykzI,iESR
bs-ykzN,iESR
bs-ylxP,iESR
bs-ymzB,iESR
